state,age_group,population
Sachsen-Anhalt,A35-A59,21672
Schleswig-Holstein,A35-A59,32497
Thüringen,A35-A59,22237
Baden-Württemberg,A35-A59,131215
Bayern,A35-A59,157637
Berlin,A35-A59,41447
Brandenburg,A35-A59,26804
Bremen,A35-A59,7823
Hamburg,A35-A59,22977
Hessen,A35-A59,75998
Mecklenburg-Vorpommern,A35-A59,16145
Niedersachsen,A35-A59,92782
Nordrhein-Westfalen,A35-A59,208534
Rheinland-Pfalz,A35-A59,46249
Saarland,A35-A59,10361
Sachsen,A35-A59,42473
Sachsen-Anhalt,A35-A59,22556
Schleswig-Holstein,A35-A59,33609
Thüringen,A35-A59,23058
Baden-Württemberg,A35-A59,141688
Bayern,A35-A59,169862
Berlin,A35-A59,42928
Brandenburg,A35-A59,29715
Bremen,A35-A59,8282
Hamburg,A35-A59,23944
Hessen,A35-A59,81122
Mecklenburg-Vorpommern,A35-A59,17630
Niedersachsen,A35-A59,101276
Nordrhein-Westfalen,A35-A59,225183
Rheinland-Pfalz,A35-A59,50327
Saarland,A35-A59,11449
Sachsen,A35-A59,46459
Sachsen-Anhalt,A35-A59,25957
Schleswig-Holstein,A35-A59,36492
Thüringen,A35-A59,25955
Baden-Württemberg,A35-A59,152167
Bayern,A35-A59,183435
Berlin,A35-A59,47153
Brandenburg,A35-A59,34866
Bremen,A35-A59,8871
Hamburg,A35-A59,25307
Hessen,A35-A59,87543
Mecklenburg-Vorpommern,A35-A59,20375
Niedersachsen,A35-A59,111334
Nordrhein-Westfalen,A35-A59,246204
Rheinland-Pfalz,A35-A59,55034
Saarland,A35-A59,12688
Sachsen,A35-A59,54176
Sachsen-Anhalt,A35-A59,30730
Schleswig-Holstein,A35-A59,40969
Thüringen,A35-A59,29167
Baden-Württemberg,A35-A59,158051
Bayern,A35-A59,190209
Berlin,A35-A59,47689
Brandenburg,A35-A59,35454
Bremen,A35-A59,9167
Hamburg,A35-A59,25957
Hessen,A35-A59,91445
Mecklenburg-Vorpommern,A35-A59,20835
Niedersachsen,A35-A59,116570
Nordrhein-Westfalen,A35-A59,256970
Rheinland-Pfalz,A35-A59,57628
Saarland,A35-A59,13081
Sachsen,A35-A59,54123
Sachsen-Anhalt,A35-A59,31044
Schleswig-Holstein,A35-A59,42764
Thüringen,A35-A59,29751
Baden-Württemberg,A35-A59,169125
Bayern,A35-A59,205237
Berlin,A35-A59,49738
Brandenburg,A35-A59,36893
Bremen,A35-A59,9812
Hamburg,A35-A59,26897
Hessen,A35-A59,97853
Mecklenburg-Vorpommern,A35-A59,21637
Niedersachsen,A35-A59,126373
Nordrhein-Westfalen,A35-A59,281148
Rheinland-Pfalz,A35-A59,62433
Saarland,A35-A59,14628
Sachsen,A35-A59,54532
Sachsen-Anhalt,A35-A59,32070
Schleswig-Holstein,A35-A59,47414
Thüringen,A35-A59,30035
Baden-Württemberg,A35-A59,176625
Bayern,A35-A59,213462
Berlin,A35-A59,52091
Brandenburg,A35-A59,38951
Bremen,A35-A59,10408
Hamburg,A35-A59,28792
Hessen,A35-A59,102432
Mecklenburg-Vorpommern,A35-A59,23089
Niedersachsen,A35-A59,132662
Nordrhein-Westfalen,A35-A59,293980
Rheinland-Pfalz,A35-A59,66126
Saarland,A35-A59,15680
Sachsen,A35-A59,55481
Sachsen-Anhalt,A35-A59,32912
Schleswig-Holstein,A35-A59,50451
Thüringen,A35-A59,30555
Baden-Württemberg,A35-A59,180097
Bayern,A35-A59,218230
Berlin,A35-A59,52335
Brandenburg,A35-A59,41181
Bremen,A35-A59,10435
Hamburg,A35-A59,28967
Hessen,A35-A59,103987
Mecklenburg-Vorpommern,A35-A59,24173
Niedersachsen,A35-A59,136620
Nordrhein-Westfalen,A35-A59,300642
Rheinland-Pfalz,A35-A59,67787
Saarland,A35-A59,16222
Sachsen,A35-A59,57302
Sachsen-Anhalt,A35-A59,34391
Schleswig-Holstein,A35-A59,52203
Thüringen,A35-A59,31648
Baden-Württemberg,A35-A59,183628
Bayern,A35-A59,219356
Berlin,A35-A59,54372
Brandenburg,A35-A59,44107
Bremen,A35-A59,10755
Hamburg,A35-A59,29133
Hessen,A35-A59,105829
Mecklenburg-Vorpommern,A35-A59,26136
Niedersachsen,A35-A59,138967
Nordrhein-Westfalen,A35-A59,307294
Rheinland-Pfalz,A35-A59,70445
Saarland,A35-A59,16887
Sachsen,A35-A59,60669
Sachsen-Anhalt,A35-A59,35795
Schleswig-Holstein,A35-A59,52492
Thüringen,A35-A59,33901
Baden-Württemberg,A35-A59,182531
Bayern,A35-A59,217447
Berlin,A35-A59,55949
Brandenburg,A35-A59,45998
Bremen,A35-A59,10776
Hamburg,A35-A59,28069
Hessen,A35-A59,105907
Mecklenburg-Vorpommern,A35-A59,27729
Niedersachsen,A35-A59,137422
Nordrhein-Westfalen,A35-A59,305331
Rheinland-Pfalz,A35-A59,70388
Saarland,A35-A59,17195
Sachsen,A35-A59,63061
Sachsen-Anhalt,A35-A59,37448
Schleswig-Holstein,A35-A59,51553
Thüringen,A35-A59,34990
Baden-Württemberg,A35-A59,184809
Bayern,A35-A59,220509
Berlin,A35-A59,56679
Brandenburg,A35-A59,47828
Bremen,A35-A59,10682
Hamburg,A35-A59,28433
Hessen,A35-A59,106346
Mecklenburg-Vorpommern,A35-A59,29125
Niedersachsen,A35-A59,138093
Nordrhein-Westfalen,A35-A59,308851
Rheinland-Pfalz,A35-A59,71911
Saarland,A35-A59,17703
Sachsen,A35-A59,65588
Sachsen-Anhalt,A35-A59,39032
Schleswig-Holstein,A35-A59,52016
Thüringen,A35-A59,36866
Baden-Württemberg,A35-A59,182152
Bayern,A35-A59,216924
Berlin,A35-A59,56330
Brandenburg,A35-A59,49290
Bremen,A35-A59,10395
Hamburg,A35-A59,27107
Hessen,A35-A59,104166
Mecklenburg-Vorpommern,A35-A59,30312
Niedersachsen,A35-A59,135904
Nordrhein-Westfalen,A35-A59,302487
Rheinland-Pfalz,A35-A59,71727
Saarland,A35-A59,17725
Sachsen,A35-A59,66372
Sachsen-Anhalt,A35-A59,40327
Schleswig-Holstein,A35-A59,50428
Thüringen,A35-A59,37720
Baden-Württemberg,A35-A59,175798
Bayern,A35-A59,209599
Berlin,A35-A59,53412
Brandenburg,A35-A59,48870
Bremen,A35-A59,10194
Hamburg,A35-A59,25267
Hessen,A35-A59,99743
Mecklenburg-Vorpommern,A35-A59,30218
Niedersachsen,A35-A59,131055
Nordrhein-Westfalen,A35-A59,289619
Rheinland-Pfalz,A35-A59,69857
Saarland,A35-A59,17590
Sachsen,A35-A59,65244
Sachsen-Anhalt,A35-A59,39846
Schleswig-Holstein,A35-A59,47964
Thüringen,A35-A59,37313
Baden-Württemberg,A35-A59,172161
Bayern,A35-A59,206012
Berlin,A35-A59,50593
Brandenburg,A35-A59,48120
Bremen,A35-A59,9691
Hamburg,A35-A59,24105
Hessen,A35-A59,96932
Mecklenburg-Vorpommern,A35-A59,30541
Niedersachsen,A35-A59,129446
Nordrhein-Westfalen,A35-A59,283333
Rheinland-Pfalz,A35-A59,69344
Saarland,A35-A59,17751
Sachsen,A35-A59,65098
Sachsen-Anhalt,A35-A59,39726
Schleswig-Holstein,A35-A59,46717
Thüringen,A35-A59,38367
Baden-Württemberg,A35-A59,166593
Bayern,A35-A59,197108
Berlin,A35-A59,48210
Brandenburg,A35-A59,46124
Bremen,A35-A59,9452
Hamburg,A35-A59,23302
Hessen,A35-A59,93451
Mecklenburg-Vorpommern,A35-A59,29803
Niedersachsen,A35-A59,123401
Nordrhein-Westfalen,A35-A59,276372
Rheinland-Pfalz,A35-A59,66917
Saarland,A35-A59,17087
Sachsen,A35-A59,62401
Sachsen-Anhalt,A35-A59,38531
Schleswig-Holstein,A35-A59,44438
Thüringen,A35-A59,36505
Baden-Württemberg,A35-A59,159400
Bayern,A35-A59,190063
Berlin,A35-A59,46175
Brandenburg,A35-A59,44963
Bremen,A35-A59,9156
Hamburg,A35-A59,22024
Hessen,A35-A59,90234
Mecklenburg-Vorpommern,A35-A59,28994
Niedersachsen,A35-A59,119525
Nordrhein-Westfalen,A35-A59,268403
Rheinland-Pfalz,A35-A59,64496
Saarland,A35-A59,17258
Sachsen,A35-A59,61812
Sachsen-Anhalt,A35-A59,37633
Schleswig-Holstein,A35-A59,43046
Thüringen,A35-A59,36449
Baden-Württemberg,A60-A79,150890
Bayern,A60-A79,180050
Berlin,A60-A79,42287
Brandenburg,A60-A79,41145
Bremen,A60-A79,8769
Hamburg,A60-A79,20929
Hessen,A60-A79,85246
Mecklenburg-Vorpommern,A60-A79,27306
Niedersachsen,A60-A79,112284
Nordrhein-Westfalen,A60-A79,253777
Rheinland-Pfalz,A60-A79,60996
Saarland,A60-A79,16551
Sachsen,A60-A79,57004
Sachsen-Anhalt,A60-A79,35217
Schleswig-Holstein,A60-A79,40379
Thüringen,A60-A79,33812
Baden-Württemberg,A60-A79,145862
Bayern,A60-A79,173799
Berlin,A60-A79,40421
Brandenburg,A60-A79,40002
Bremen,A60-A79,8765
Hamburg,A60-A79,19864
Hessen,A60-A79,82856
Mecklenburg-Vorpommern,A60-A79,26507
Niedersachsen,A60-A79,109824
Nordrhein-Westfalen,A60-A79,246986
Rheinland-Pfalz,A60-A79,60076
Saarland,A60-A79,15900
Sachsen,A60-A79,56671
Sachsen-Anhalt,A60-A79,34685
Schleswig-Holstein,A60-A79,39255
Thüringen,A60-A79,33618
Baden-Württemberg,A60-A79,141603
Bayern,A60-A79,166436
Berlin,A60-A79,39535
Brandenburg,A60-A79,39628
Bremen,A60-A79,8229
Hamburg,A60-A79,18904
Hessen,A60-A79,79534
Mecklenburg-Vorpommern,A60-A79,26526
Niedersachsen,A60-A79,105092
Nordrhein-Westfalen,A60-A79,237176
Rheinland-Pfalz,A60-A79,57563
Saarland,A60-A79,15186
Sachsen,A60-A79,57410
Sachsen-Anhalt,A60-A79,35039
Schleswig-Holstein,A60-A79,36916
Thüringen,A60-A79,34216
Baden-Württemberg,A60-A79,133554
Bayern,A60-A79,156577
Berlin,A60-A79,38918
Brandenburg,A60-A79,39598
Bremen,A60-A79,7981
Hamburg,A60-A79,17805
Hessen,A60-A79,75858
Mecklenburg-Vorpommern,A60-A79,26779
Niedersachsen,A60-A79,100893
Nordrhein-Westfalen,A60-A79,226662
Rheinland-Pfalz,A60-A79,55367
Saarland,A60-A79,14396
Sachsen,A60-A79,59268
Sachsen-Anhalt,A60-A79,35819
Schleswig-Holstein,A60-A79,35895
Thüringen,A60-A79,34275
Baden-Württemberg,A60-A79,128316
Bayern,A60-A79,152060
Berlin,A60-A79,38164
Brandenburg,A60-A79,38841
Bremen,A60-A79,7738
Hamburg,A60-A79,17223
Hessen,A60-A79,73816
Mecklenburg-Vorpommern,A60-A79,26654
Niedersachsen,A60-A79,98558
Nordrhein-Westfalen,A60-A79,220826
Rheinland-Pfalz,A60-A79,54080
Saarland,A60-A79,14519
Sachsen,A60-A79,58648
Sachsen-Anhalt,A60-A79,34862
Schleswig-Holstein,A60-A79,35628
Thüringen,A60-A79,33610
Baden-Württemberg,A60-A79,122739
Bayern,A60-A79,145385
Berlin,A60-A79,37149
Brandenburg,A60-A79,38027
Bremen,A60-A79,7393
Hamburg,A60-A79,16350
Hessen,A60-A79,69939
Mecklenburg-Vorpommern,A60-A79,26074
Niedersachsen,A60-A79,94807
Nordrhein-Westfalen,A60-A79,208829
Rheinland-Pfalz,A60-A79,52397
Saarland,A60-A79,14123
Sachsen,A60-A79,58767
Sachsen-Anhalt,A60-A79,34940
Schleswig-Holstein,A60-A79,33990
Thüringen,A60-A79,33391
Baden-Württemberg,A60-A79,121825
Bayern,A60-A79,145315
Berlin,A60-A79,36371
Brandenburg,A60-A79,37007
Bremen,A60-A79,7320
Hamburg,A60-A79,16429
Hessen,A60-A79,70291
Mecklenburg-Vorpommern,A60-A79,25196
Niedersachsen,A60-A79,95257
Nordrhein-Westfalen,A60-A79,205369
Rheinland-Pfalz,A60-A79,51758
Saarland,A60-A79,13762
Sachsen,A60-A79,59553
Sachsen-Anhalt,A60-A79,34413
Schleswig-Holstein,A60-A79,33733
Thüringen,A60-A79,32974
Baden-Württemberg,A60-A79,117633
Bayern,A60-A79,139831
Berlin,A60-A79,36690
Brandenburg,A60-A79,35798
Bremen,A60-A79,7353
Hamburg,A60-A79,16031
Hessen,A60-A79,68694
Mecklenburg-Vorpommern,A60-A79,24241
Niedersachsen,A60-A79,93324
Nordrhein-Westfalen,A60-A79,197339
Rheinland-Pfalz,A60-A79,50438
Saarland,A60-A79,13222
Sachsen,A60-A79,60480
Sachsen-Anhalt,A60-A79,32768
Schleswig-Holstein,A60-A79,33705
Thüringen,A60-A79,32626
Baden-Württemberg,A60-A79,117550
Bayern,A60-A79,140667
Berlin,A60-A79,38033
Brandenburg,A60-A79,33395
Bremen,A60-A79,7323
Hamburg,A60-A79,16498
Hessen,A60-A79,70039
Mecklenburg-Vorpommern,A60-A79,22382
Niedersachsen,A60-A79,92997
Nordrhein-Westfalen,A60-A79,196010
Rheinland-Pfalz,A60-A79,50687
Saarland,A60-A79,13314
Sachsen,A60-A79,57763
Sachsen-Anhalt,A60-A79,32034
Schleswig-Holstein,A60-A79,33826
Thüringen,A60-A79,30796
Baden-Württemberg,A60-A79,114777
Bayern,A60-A79,136577
Berlin,A60-A79,35335
Brandenburg,A60-A79,28228
Bremen,A60-A79,7330
Hamburg,A60-A79,16388
Hessen,A60-A79,69176
Mecklenburg-Vorpommern,A60-A79,19266
Niedersachsen,A60-A79,91362
Nordrhein-Westfalen,A60-A79,194355
Rheinland-Pfalz,A60-A79,48615
Saarland,A60-A79,13582
Sachsen,A60-A79,50279
Sachsen-Anhalt,A60-A79,28272
Schleswig-Holstein,A60-A79,33428
Thüringen,A60-A79,27167
Baden-Württemberg,A60-A79,105073
Bayern,A60-A79,129252
Berlin,A60-A79,32191
Brandenburg,A60-A79,24187
Bremen,A60-A79,6762
Hamburg,A60-A79,15880
Hessen,A60-A79,64503
Mecklenburg-Vorpommern,A60-A79,16468
Niedersachsen,A60-A79,83954
Nordrhein-Westfalen,A60-A79,176215
Rheinland-Pfalz,A60-A79,41549
Saarland,A60-A79,11510
Sachsen,A60-A79,40096
Sachsen-Anhalt,A60-A79,23677
Schleswig-Holstein,A60-A79,32532
Thüringen,A60-A79,23342
Baden-Württemberg,A60-A79,97054
Bayern,A60-A79,125369
Berlin,A60-A79,30017
Brandenburg,A60-A79,22913
Bremen,A60-A79,6443
Hamburg,A60-A79,15216
Hessen,A60-A79,59993
Mecklenburg-Vorpommern,A60-A79,15198
Niedersachsen,A60-A79,76075
Nordrhein-Westfalen,A60-A79,161089
Rheinland-Pfalz,A60-A79,36558
Saarland,A60-A79,9351
Sachsen,A60-A79,39807
Sachsen-Anhalt,A60-A79,23031
Schleswig-Holstein,A60-A79,29875
Thüringen,A60-A79,22091
Baden-Württemberg,A60-A79,84070
Bayern,A60-A79,109521
Berlin,A60-A79,23193
Brandenburg,A60-A79,15329
Bremen,A60-A79,6266
Hamburg,A60-A79,13868
Hessen,A60-A79,50821
Mecklenburg-Vorpommern,A60-A79,10017
Niedersachsen,A60-A79,70052
Nordrhein-Westfalen,A60-A79,146064
Rheinland-Pfalz,A60-A79,32391
Saarland,A60-A79,7484
Sachsen,A60-A79,29615
Sachsen-Anhalt,A60-A79,18366
Schleswig-Holstein,A60-A79,27822
Thüringen,A60-A79,17965
Baden-Württemberg,A60-A79,71449
Bayern,A60-A79,87469
Berlin,A60-A79,25935
Brandenburg,A60-A79,18019
Bremen,A60-A79,4950
Hamburg,A60-A79,12369
Hessen,A60-A79,41948
Mecklenburg-Vorpommern,A60-A79,10650
Niedersachsen,A60-A79,54854
Nordrhein-Westfalen,A60-A79,121914
Rheinland-Pfalz,A60-A79,26849
Saarland,A60-A79,6847
Sachsen,A60-A79,34668
Sachsen-Anhalt,A60-A79,18531
Schleswig-Holstein,A60-A79,22709
Thüringen,A60-A79,16832
Baden-Württemberg,A60-A79,92366
Bayern,A60-A79,112496
Berlin,A60-A79,33755
Brandenburg,A60-A79,26634
Bremen,A60-A79,6113
Hamburg,A60-A79,15371
Hessen,A60-A79,55337
Mecklenburg-Vorpommern,A60-A79,15738
Niedersachsen,A60-A79,72774
Nordrhein-Westfalen,A60-A79,156292
Rheinland-Pfalz,A60-A79,34877
Saarland,A60-A79,9179
Sachsen,A60-A79,49972
Sachsen-Anhalt,A60-A79,25631
Schleswig-Holstein,A60-A79,29706
Thüringen,A60-A79,24196
Baden-Württemberg,A60-A79,92311
Bayern,A60-A79,111226
Berlin,A60-A79,35416
Brandenburg,A60-A79,28242
Bremen,A60-A79,6285
Hamburg,A60-A79,15363
Hessen,A60-A79,54163
Mecklenburg-Vorpommern,A60-A79,16932
Niedersachsen,A60-A79,74113
Nordrhein-Westfalen,A60-A79,154782
Rheinland-Pfalz,A60-A79,34414
Saarland,A60-A79,8803
Sachsen,A60-A79,48888
Sachsen-Anhalt,A60-A79,26138
Schleswig-Holstein,A60-A79,30429
Thüringen,A60-A79,24026
Baden-Württemberg,A60-A79,89849
Bayern,A60-A79,106508
Berlin,A60-A79,32797
Brandenburg,A60-A79,27036
Bremen,A60-A79,6161
Hamburg,A60-A79,14700
Hessen,A60-A79,50822
Mecklenburg-Vorpommern,A60-A79,16116
Niedersachsen,A60-A79,70871
Nordrhein-Westfalen,A60-A79,148316
Rheinland-Pfalz,A60-A79,33090
Saarland,A60-A79,8561
Sachsen,A60-A79,44723
Sachsen-Anhalt,A60-A79,25537
Schleswig-Holstein,A60-A79,28809
Thüringen,A60-A79,22170
Baden-Württemberg,A60-A79,106561
Bayern,A60-A79,127480
Berlin,A60-A79,37314
Brandenburg,A60-A79,32836
Bremen,A60-A79,6840
Hamburg,A60-A79,16561
Hessen,A60-A79,60278
Mecklenburg-Vorpommern,A60-A79,20136
Niedersachsen,A60-A79,84700
Nordrhein-Westfalen,A60-A79,174003
Rheinland-Pfalz,A60-A79,40481
Saarland,A60-A79,10801
Sachsen,A60-A79,54535
Sachsen-Anhalt,A60-A79,30440
Schleswig-Holstein,A60-A79,34235
Thüringen,A60-A79,27856
Baden-Württemberg,A60-A79,109371
Bayern,A60-A79,132859
Berlin,A60-A79,34902
Brandenburg,A60-A79,32203
Bremen,A60-A79,7001
Hamburg,A60-A79,16719
Hessen,A60-A79,63013
Mecklenburg-Vorpommern,A60-A79,19817
Niedersachsen,A60-A79,86249
Nordrhein-Westfalen,A60-A79,183295
Rheinland-Pfalz,A60-A79,42855
Saarland,A60-A79,10981
Sachsen,A60-A79,54845
Sachsen-Anhalt,A60-A79,30478
Schleswig-Holstein,A60-A79,33757
Thüringen,A60-A79,29259
Baden-Württemberg,A60-A79,105552
Bayern,A60-A79,127973
Berlin,A60-A79,31939
Brandenburg,A60-A79,30535
Bremen,A60-A79,6592
Hamburg,A60-A79,15533
Hessen,A60-A79,59992
Mecklenburg-Vorpommern,A60-A79,19653
Niedersachsen,A60-A79,82280
Nordrhein-Westfalen,A60-A79,175952
Rheinland-Pfalz,A60-A79,41074
Saarland,A60-A79,11018
Sachsen,A60-A79,52128
Sachsen-Anhalt,A60-A79,28643
Schleswig-Holstein,A60-A79,32541
Thüringen,A60-A79,27721
Baden-Württemberg,A80+,95364
Bayern,A80+,111851
Berlin,A80+,28853
Brandenburg,A80+,26972
Bremen,A80+,6185
Hamburg,A80+,14261
Hessen,A80+,53197
Mecklenburg-Vorpommern,A80+,17591
Niedersachsen,A80+,76039
Nordrhein-Westfalen,A80+,160851
Rheinland-Pfalz,A80+,37004
Saarland,A80+,9728
Sachsen,A80+,45782
Sachsen-Anhalt,A80+,24819
Schleswig-Holstein,A80+,29504
Thüringen,A80+,23229
Baden-Württemberg,A80+,85155
Bayern,A80+,98334
Berlin,A80+,26071
Brandenburg,A80+,24090
Bremen,A80+,5538
Hamburg,A80+,13020
Hessen,A80+,47804
Mecklenburg-Vorpommern,A80+,15335
Niedersachsen,A80+,67148
Nordrhein-Westfalen,A80+,145406
Rheinland-Pfalz,A80+,33356
Saarland,A80+,9503
Sachsen,A80+,40197
Sachsen-Anhalt,A80+,22179
Schleswig-Holstein,A80+,25986
Thüringen,A80+,20288
Baden-Württemberg,A80+,78639
Bayern,A80+,89001
Berlin,A80+,23680
Brandenburg,A80+,22299
Bremen,A80+,5121
Hamburg,A80+,11983
Hessen,A80+,43962
Mecklenburg-Vorpommern,A80+,14167
Niedersachsen,A80+,60502
Nordrhein-Westfalen,A80+,133231
Rheinland-Pfalz,A80+,30960
Saarland,A80+,8922
Sachsen,A80+,37631
Sachsen-Anhalt,A80+,20293
Schleswig-Holstein,A80+,23398
Thüringen,A80+,18768
Baden-Württemberg,A80+,70864
Bayern,A80+,79608
Berlin,A80+,21639
Brandenburg,A80+,20373
Bremen,A80+,4495
Hamburg,A80+,10918
Hessen,A80+,39403
Mecklenburg-Vorpommern,A80+,12981
Niedersachsen,A80+,54900
Nordrhein-Westfalen,A80+,121429
Rheinland-Pfalz,A80+,27827
Saarland,A80+,7621
Sachsen,A80+,35153
Sachsen-Anhalt,A80+,18556
Schleswig-Holstein,A80+,20860
Thüringen,A80+,16938
Baden-Württemberg,A80+,60026
Bayern,A80+,68769
Berlin,A80+,18928
Brandenburg,A80+,17373
Bremen,A80+,3895
Hamburg,A80+,8899
Hessen,A80+,34056
Mecklenburg-Vorpommern,A80+,11217
Niedersachsen,A80+,46761
Nordrhein-Westfalen,A80+,106302
Rheinland-Pfalz,A80+,23985
Saarland,A80+,6146
Sachsen,A80+,30310
Sachsen-Anhalt,A80+,15964
Schleswig-Holstein,A80+,17564
Thüringen,A80+,14640
Baden-Württemberg,A80+,46624
Bayern,A80+,53568
Berlin,A80+,12511
Brandenburg,A80+,12286
Bremen,A80+,2765
Hamburg,A80+,6474
Hessen,A80+,25205
Mecklenburg-Vorpommern,A80+,8317
Niedersachsen,A80+,33815
Nordrhein-Westfalen,A80+,77231
Rheinland-Pfalz,A80+,17973
Saarland,A80+,4957
Sachsen,A80+,21959
Sachsen-Anhalt,A80+,11627
Schleswig-Holstein,A80+,12077
Thüringen,A80+,10509
Baden-Württemberg,A80+,42080
Bayern,A80+,48807
Berlin,A80+,10782
Brandenburg,A80+,11140
Bremen,A80+,2498
Hamburg,A80+,5717
Hessen,A80+,22658
Mecklenburg-Vorpommern,A80+,7648
Niedersachsen,A80+,30884
Nordrhein-Westfalen,A80+,70442
Rheinland-Pfalz,A80+,16157
Saarland,A80+,4584
Sachsen,A80+,19332
Sachsen-Anhalt,A80+,10404
Schleswig-Holstein,A80+,10540
Thüringen,A80+,9631
Baden-Württemberg,A80+,38263
Bayern,A80+,43765
Berlin,A80+,9950
Brandenburg,A80+,9917
Bremen,A80+,2278
Hamburg,A80+,5353
Hessen,A80+,20761
Mecklenburg-Vorpommern,A80+,6686
Niedersachsen,A80+,28582
Nordrhein-Westfalen,A80+,64355
Rheinland-Pfalz,A80+,14953
Saarland,A80+,4184
Sachsen,A80+,18223
Sachsen-Anhalt,A80+,9452
Schleswig-Holstein,A80+,9892
Thüringen,A80+,8491
Baden-Württemberg,A80+,35287
Bayern,A80+,40131
Berlin,A80+,9383
Brandenburg,A80+,9123
Bremen,A80+,2144
Hamburg,A80+,5028
Hessen,A80+,19832
Mecklenburg-Vorpommern,A80+,5874
Niedersachsen,A80+,26746
Nordrhein-Westfalen,A80+,60855
Rheinland-Pfalz,A80+,13999
Saarland,A80+,3609
Sachsen,A80+,17455
Sachsen-Anhalt,A80+,8639
Schleswig-Holstein,A80+,8948
Thüringen,A80+,8049
Baden-Württemberg,A80+,29597
Bayern,A80+,33795
Berlin,A80+,8013
Brandenburg,A80+,7505
Bremen,A80+,1865
Hamburg,A80+,4432
Hessen,A80+,16703
Mecklenburg-Vorpommern,A80+,4813
Niedersachsen,A80+,22187
Nordrhein-Westfalen,A80+,50920
Rheinland-Pfalz,A80+,11821
Saarland,A80+,3105
Sachsen,A80+,14915
Sachsen-Anhalt,A80+,7164
Schleswig-Holstein,A80+,7648
Thüringen,A80+,6674
Baden-Württemberg,A80+,102132
Bayern,A80+,117007
Berlin,A80+,28717
Brandenburg,A80+,23402
Bremen,A80+,7059
Hamburg,A80+,16894
Hessen,A80+,60156
Mecklenburg-Vorpommern,A80+,14593
Niedersachsen,A80+,78738
Nordrhein-Westfalen,A80+,172471
Rheinland-Pfalz,A80+,41444
Saarland,A80+,10337
Sachsen,A80+,49236
Sachsen-Anhalt,A80+,22922
Schleswig-Holstein,A80+,28174
Thüringen,A80+,21661
